,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
0,"50, 63-ro, Yeongdeungpo-gu, Seoul",,1,A02,A0205,A02050600,264122,76,20031229000750,http://tong.visitkorea.or.kr/cms/resource/86/2526386_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2526386_image2_1.jpg,Type3,126.9403285961,37.5198673186,6,20240305103526,20,+82-2-789-5663,63 Square (63스퀘어),07345
1,"20-1, Samil-daero 8-gil, Jung-gu, Seoul",,1,A02,A0203,A02030400,2590011,76,20190211220745,http://tong.visitkorea.or.kr/cms/resource/90/2589890_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/90/2589890_image2_1.bmp,Type3,126.9901422899,37.5627326749,6,20210325201852,24,+82-10-8895-3368,A Moment in Time - Live Caricature & Gallery (시간을 담다),04553
2,"127, Walkerhill-ro, Gwangjin-gu, Seoul",,1,A01,A0101,A01010500,1747653,76,20121105190745,http://tong.visitkorea.or.kr/cms/resource/60/741860_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/741860_image3_1.jpg,Type3,127.1012880282,37.5519609256,6,20210514223919,6,+82-2-450-1655,Achasan Ecological Park (아차산생태공원),04965
3,"Acheon-dong, Guri-si, Gyeonggi-do",,1,A01,A0101,A01010400,1349267,76,20110803231946,http://tong.visitkorea.or.kr/cms/resource/57/2661757_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2661757_image2_1.jpg,Type3,127.0998297997,37.5529441189,,20240307162428,6,+82-2-450-1655,Achasan Mountain (아차산),04948
4,"Gwangjang-dong, Gwangjin-gu, Seoul-si",,1,A02,A0201,A02010200,264196,76,20030109030209,http://tong.visitkorea.or.kr/cms/resource/23/741923_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/741923_image3_1.jpg,Type3,127.1048709825,37.5538246631,6,20230405215603,6,+82-2-450-7593,Achasanseong Fortress (아차산성),04963
5,"7 Achasan-ro 11-gil, Seongdong-gu, Seoul",,1,A02,A0203,A02030400,3078774,76,20231216204931,,,,127.0590698587,37.5446026871,6,20240105150508,16,,Amore Seongsu (아모레 성수),04797
6,"21, Apgujeong-ro 29-gil, Gangnam-gu, Seoul",,1,A02,A0202,A02020300,1295190,76,20110601185512,,,,127.0276620598,37.5286678625,,20200327010352,1,+82-2-512-3067,AMORE Spa (아모레퍼시픽 스파),06005
7,"83-66, Seonsa-ro, Gangdong-gu, Seoul",,1,A01,A0101,A01010500,1131921,76,20101123003018,http://tong.visitkorea.or.kr/cms/resource/96/1894496_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/1894496_image3_1.jpg,Type3,127.1222833943,37.5500170857,6,20170112192512,2,+82-2-3780-0501,Amsa Ecological Park (암사생태공원),05249
8,"Sinsa-dong, Gangnam-gu, Seoul",,1,A02,A0203,A02030600,264107,76,20021220020240,http://tong.visitkorea.or.kr/cms/resource/44/3109344_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/44/3109344_image3_1.JPG,Type3,127.0388971983,37.5268766055,6,20240318115757,1,+82-2-3445-0111,Apgujeong Rodeo Street (압구정 로데오거리),06017
9,"17, 4.19-ro 8-gil, Gangbuk-gu, Seoul",,1,A02,A0201,A02010700,1348713,76,20110803005924,http://tong.visitkorea.or.kr/cms/resource/50/2025950_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2025950_image3_1.jpg,Type3,127.0091159038,37.6484480504,6,20230102143552,3,+82-2-996-0419,April 19th National Cemetery (국립4.19민주묘지),01009
10,"11-1, Baekbeom-ro, Mapo-gu, Seoul",,1,A02,A0202,A02020300,1965838,76,20141119014605,,,,126.9372751449,37.5535661260,,20170722000148,13,+82-2-711-1176,ARA Therapy (아라테라피),04101
11,"875, Olympic-ro, Gangdong-gu, Seoul",,1,A02,A0201,A02010700,264111,76,20021227002446,http://tong.visitkorea.or.kr/cms/resource/19/204019_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/204019_image3_1.jpg,Type3,127.1309239757,37.5605132450,6,20210727015826,2,+82-2-3425-6520,"Archaeological Site in Amsa-dong, Seoul (서울 암사동 유적)",05239
12,"19-7 Bukchon-ro 5-gil, Jongno-gu, Seoul",,1,A02,A0203,A02030400,3091370,76,20231218132601,http://tong.visitkorea.or.kr/cms/resource/58/3072058_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/3072058_image3_1.jpg,Type1,126.9842229188,37.5791917674,6,20240130170141,23,,Aromind (아로마인드),03060
13,"43, Bukchon-ro 5-gil, Jongno-gu, Seoul",,1,A02,A0203,A02030400,2373511,76,20160318222742,,,,126.9825258474,37.5793250547,6,20220915091340,23,+82-1666-1693,Artee Riders Club (아띠인력거),03061
14,"16, Bukchon-ro 7-gil, Jongno-gu, Seoul",,1,A02,A0201,A02010400,2543150,76,20180416234208,http://tong.visitkorea.or.kr/cms/resource/92/2481892_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2481892_image2_1.jpg,Type3,126.9840701194,37.5804416194,6,20220502155947,23,+82-2-724-0200,Baek In-je House (백인제가옥),03055
15,"Hoehyeon-dong, Jung-gu, Seoul",,1,A02,A0205,A02050400,3103090,76,20070115090000,,,,126.9798934455,37.5549250652,6,20240220162120,24,,Baekbeom Kim Koo Statue (Baekbeom Plaza) (백범김구선생상(백범 광장)),04636
16,"115, Buam-dong, Jongno-gu, Seoul",,1,A01,A0101,A01010900,1851871,76,20131017215429,http://tong.visitkorea.or.kr/cms/resource/14/1926514_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/1926514_image3_1.jpg,Type3,126.9663489448,37.6004834158,6,20200831203534,23,+82-2-2148-1114,Baeksasilgyegok Valley (백사실계곡),"110-021,1"
17,"39, Namdaemun-ro, Jung-gu, Seoul",,1,A02,A0204,A02040800,2553836,76,20180717011338,http://tong.visitkorea.or.kr/cms/resource/55/1570555_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/1570555_image3_1.jpg,Type3,126.9805348496,37.5621131302,6,20181025001530,24,,Bank of Korea Money Museum (한국은행 화폐박물관),04531
18,"350, Dongjak-daero, Seocho-gu, Seoul",,1,A02,A0205,A02050300,1011983,76,20100430002957,,,,126.9926825046,37.5076780054,6,20240517154949,15,+82-2-3780-0578,Banpo Bridge Rainbow Fountain (반포대교 달빛무지개분수),06500
19,"40, Sinbanpo-ro 11-gil, Seocho-gu, Seoul",,1,A02,A0202,A02020700,1013338,76,20100503221905,,,,126.9926825046,37.5076780054,6,20221216105652,15,+82-2-3780-0541,Banpo Hangang Park (반포한강공원),06500
20,"40, Sinbanpo-ro 11-gil, Seocho-gu, Seoul",,1,A01,A0101,A01011300,1747895,76,20121106004136,http://tong.visitkorea.or.kr/cms/resource/33/755633_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/755633_image3_1.jpg,Type3,126.9926825046,37.5076780054,6,20180202200639,15,,Banpo Seoraeseom Island (반포 서래섬),06500
21,"16 Jandari-ro, Mapo-gu, Seoul",,1,A02,A0203,A02030400,3310836,76,20240617091121,http://tong.visitkorea.or.kr/cms/resource/35/3308535_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/3308535_image3_1.jpg,Type3,126.9214794365,37.5509550360,6,20240618134209,13,,Beauty Play Hongdae (뷰티플레이 홍대점),04041
22,"73 Myeongdong-gil, Jung-gu, Seoul",,1,A04,A0401,A04010600,3058019,76,20230202205859,http://tong.visitkorea.or.kr/cms/resource/77/3055177_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/3055177_image3_1.jpg,Type3,126.9863231484,37.5643240879,6,20240614165836,24,,Beauty Play Myeongdong (뷰티플레이 명동),04538
23,"Sinnae-ro 21-gil, Jungnang-gu, Seoul",,1,A01,A0101,A01010400,1684868,76,20120801230649,http://tong.visitkorea.or.kr/cms/resource/36/1894536_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/1894536_image3_1.jpg,Type3,127.0866155277,37.6086568514,6,20220914100456,25,+82-2-2094-2353,Bonghwasan Mountain - Seoul (봉화산 (서울)),02041
24,"120, Bongwonsa-gil, Seodaemun-gu, Seoul",,1,A02,A0201,A02010800,1134541,76,20101126000937,http://tong.visitkorea.or.kr/cms/resource/05/2017905_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2017905_image3_1.jpg,Type3,126.9469959488,37.5723974448,6,20230313133950,14,+82-2-392-3007,Bongwonsa Temple (봉원사),03721
25,"33, Yeouidaebang-ro 20-gil, Dongjak-gu, Seoul",,1,A02,A0202,A02020700,997163,76,20100413201119,http://tong.visitkorea.or.kr/cms/resource/09/566009_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/566009_image3_1.jpg,Type3,126.9231614728,37.4929729132,6,20210320005126,12,+82-2-120,Boramae Park (보라매공원),07062
26,"33, Yeouidaebang-ro 20-gil, Dongjak-gu, Seoul",,1,A02,A0203,A02030400,1865073,76,20131129005921,http://tong.visitkorea.or.kr/cms/resource/39/1095139_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/1095139_image3_1.jpg,Type3,126.9172397911,37.4929339232,6,20200624195355,12,+82-2-2027-4100,Boramae Safety Experience Center (보라매안전체험관),07062
27,"54, Jong-ro, Jongno-gu, Seoul",,1,A02,A0201,A02010700,264135,76,20030103195456,http://tong.visitkorea.or.kr/cms/resource/24/566424_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/566424_image3_1.jpg,Type3,126.9835760212,37.5698150675,6,20240304151006,23,+82-2-2133-2641,Bosingak Belfry (보신각 터),03189
28,"39-5, Daemyeong-gil, Jongno-gu, Seoul",,1,A02,A0202,A02020300,1373230,76,20110830001629,,,,126.9995741954,37.5827860694,4,20170721234720,23,+82-2-765-3374,Bourhill Esthetic (부르힐에스테틱),03078
29,"Buam-dong, Jongno-gu, Seoul",,1,A02,A0203,A02030400,1382366,76,20110908202217,http://tong.visitkorea.or.kr/cms/resource/19/3109519_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/19/3109519_image3_1.JPG,Type3,126.9640854894,37.5924870824,6,20240315155635,23,+82-2-2148-1807,Buam-dong (부암동),03022
30,"267, Bugaksan-ro, Jongno-gu, Seoul",,1,A02,A0202,A02020700,1909500,76,20140331192146,http://tong.visitkorea.or.kr/cms/resource/32/2667332_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2667332_image3_1.jpg,Type3,126.9805670485,37.6020279352,6,20221226143601,23,+82-2-725-6602,Bugak Skyway Palgakjeong Pavilion (북악스카이 팔각정),03010
31,"Cheongun-dong, Jongno-gu, Seoul",,1,A01,A0101,A01010400,1061818,76,20100720014234,http://tong.visitkorea.or.kr/cms/resource/57/1394557_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/1394557_image3_1.jpg,Type3,126.9665491417,37.5928898572,6,20240304144543,23,+82-2-765-0297,Bugaksan Mountain (북악산),03020
32,"37, Gyedong-gil, Jongno-gu, Seoul",,1,A02,A0201,A02010600,561382,76,20080520022823,http://tong.visitkorea.or.kr/cms/resource/06/2512006_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2512006_image3_1.jpg,Type3,126.9864254967,37.5791612548,6,20240517102533,23,+82-2-2148-4161,Bukchon Hanok Village (북촌한옥마을),03059
33,"262 Bogungmun-ro, Seongbuk-gu, Seoul",,1,A01,A0101,A01010100,1747593,76,20121105180812,http://tong.visitkorea.or.kr/cms/resource/45/2526645_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2526645_image2_1.jpg,Type3,126.9943263511,37.6215453578,6,20231026140619,17,+82-2-909-0497,Bukhansan National Park (Seoul District) (북한산국립공원(서울)),02700
34,"132-3 Seongbuk-ro 23-gil, Seongbuk-gu, Seoul",,1,A02,A0203,A02030100,3099765,76,20200630023540,,,,126.9910580174,37.5929152943,6,20240215152951,17,,Bukjeong Village (북정마을),02879
35,"22, Deongneung-ro 130ga-gil, Nowon-gu, Seoul",,1,A01,A0101,A01010400,2357787,76,20151230233034,http://tong.visitkorea.or.kr/cms/resource/86/739086_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/739086_image3_1.jpg,Type3,127.0882468880,37.6725633390,6,20210423183228,9,+82-2-2116-3943,Buramsan Mountain (불암산),01642
36,"99, Yulgok-ro, Jongno-gu, Seoul",,1,A02,A0201,A02010300,2033085,76,20151009020532,http://tong.visitkorea.or.kr/cms/resource/01/1568301_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/1568301_image3_1.jpg,Type3,126.9911806294,37.5787974932,6,20220829170703,23,+82-2-3668-2300,Changdeokgung Injeongmun Gate (창덕궁 인정문),03072
37,"99 Yulgok-ro, Jongno-gu, Seoul",,1,A02,A0201,A02010100,264348,76,20090929200743,http://tong.visitkorea.or.kr/cms/resource/84/2932684_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/84/2932684_image3_1.bmp,Type3,126.9919888278,37.5809583673,6,20240604140751,23,,Changdeokgung Palace Complex [UNESCO World Heritage Site] (창덕궁과 후원 [유네스코 세계문화유산]),03072
38,"185, Changgyeonggung-ro, Jongno-gu, Seoul",,1,A02,A0201,A02010100,264350,76,20030109182105,,,,126.9938554166,37.5776782272,6,20221213171310,23,+82-2-762-4868,Changgyeonggung Palace (창경궁),03072
39,"99, Yulgok-ro, Jongno-gu, Seoul",,1,A02,A0201,A02010300,1991027,76,20150309195650,http://tong.visitkorea.or.kr/cms/resource/31/2616931_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2616931_image3_1.jpg,Type3,126.9938554166,37.5776782272,6,20210527025210,23,+82-2-762-4868,Changgyeonggung Palace Honghwamun Gate (창경궁 홍화문),03072
40,"118, Changuimun-ro, Jongno-gu, Seoul",,1,A02,A0201,A02010300,1035096,76,20100531222316,http://tong.visitkorea.or.kr/cms/resource/26/1570526_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/1570526_image3_1.jpg,Type3,126.9665047068,37.5926982124,6,20200402010956,23,+82-2-2148-1822,Changuimun Gate - Jahamun Gate (창의문(자하문)),03020
41,"1, Cheongwadae-ro, Jongno-gu, Seoul",,1,A02,A0205,A02050600,264134,76,20030103195138,http://tong.visitkorea.or.kr/cms/resource/23/774323_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/774323_image3_1.jpg,Type3,126.9746792089,37.5839799278,6,20230307143236,23,+82-2-1330,Cheong Wa Dae (Blue House) (청와대),03048
42,"20-8, Bulgwang-ro 10-gil, Eunpyeong-gu, Seoul",,1,A02,A0201,A02010800,1605017,76,20120418020642,http://tong.visitkorea.or.kr/cms/resource/08/2048008_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2048008_image3_1.jpg,Type3,126.9341958425,37.6173975381,6,20211012224409,22,+82-2-355-7430,Cheongansa Temple (천간사),03363
43,"Cheongdam-dong, Gangnam-gu, Seoul-si",,1,A02,A0203,A02030400,1389275,76,20110920221939,http://tong.visitkorea.or.kr/cms/resource/82/2728682_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2728682_image2_1.jpg,Type3,127.0457632671,37.5259073966,6,20220906134014,1,+82-2-3445-0111,Cheongdam Fashion Street (청담패션거리),06015
44,"26, Yeongdong-daero 131-gil, Gangnam-gu, Seoul",,1,A02,A0202,A02020700,1939670,76,20140807195239,http://tong.visitkorea.or.kr/cms/resource/00/204200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/204200_image3_1.jpg,Type3,127.0526683289,37.5211580726,6,20210730180026,1,+82-2-3423-6248,Cheongdam Park (청담공원),06073
45,"20 Jangchungdan-ro 13-gil, Jung-gu, Seoul",,1,A02,A0203,A02030600,3074203,76,20231207122813,http://tong.visitkorea.or.kr/cms/resource/32/3061932_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/3061932_image3_1.jpg,Type1,127.0076821872,37.5687878415,6,20231222153901,24,,Cheonggyecheon Old Books Street (청계천헌책방거리),04563
46,"Changsin-dong, Jongno-gu, Seoul",,1,A02,A0202,A02020700,897540,76,20091215020805,http://tong.visitkorea.or.kr/cms/resource/90/2544890_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2544890_image3_1.jpg,Type3,127.0050907302,37.5697015781,6,20240516170805,24,+82-2-2290-7111,Cheonggyecheon Stream (청계천),04563
47,"Makgye-dong, Gwacheon-si, Gyeonggi-do",,1,A01,A0101,A01010400,822944,76,20091020012336,,,,127.0543676446,37.4416867721,6,20240320112624,15,+82-2-2155-6870,Cheonggyesan Mountain (청계산),06806
48,"702, Olympic-ro, Gangdong-gu, Seoul",,1,A02,A0202,A02020700,997266,76,20100413203118,http://tong.visitkorea.or.kr/cms/resource/06/1986006_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/1986006_image3_1.jpg,Type3,127.1269358994,37.5447233407,6,20200318184152,2,+82-2-489-2776,Cheonho Park (천호공원),05324
49,"9, Seongbuk-ro 15-gil, Seongbuk-gu, Seoul",,1,A02,A0201,A02010400,1810712,76,20130510195854,http://tong.visitkorea.or.kr/cms/resource/18/2031918_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2031918_image3_1.jpg,Type3,127.0003849431,37.5929960083,6,20211221200347,17,+82-2-3675-3401,Choi Sunu House (최순우 옛집),02880
50,"164, Changdeokgung-gil, Jongno-gu, Seoul",,1,A02,A0201,A02010700,1438008,76,20111117000001,http://tong.visitkorea.or.kr/cms/resource/93/1985993_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/1985993_image3_1.jpg,Type3,126.9868503170,37.5841440162,6,20191126222128,23,+82-2-742-1321,Choong Ang High School (중앙고등학교),03051
51,"46, Jeongdong-gil, Jung-gu, Seoul",,1,A02,A0201,A02010900,264635,76,20070822005759,http://tong.visitkorea.or.kr/cms/resource/49/1955149_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/1955149_image3_1.jpg,Type3,126.9723466121,37.5654653714,6,20200625182203,24,+82-2-753-0001,Chungdong First Methodist Church (서울 정동교회),04516
52,"1, Tongil-ro, Jung-gu, Seoul",,1,A02,A0203,A02030400,1340416,76,20110725204226,http://tong.visitkorea.or.kr/cms/resource/32/1985332_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/1985332_image3_1.jpg,Type3,126.9716025029,37.5560136788,6,20230811101848,24,,Culture Station Seoul 284 (문화역 서울 284),04509
53,"104, Daehak-ro, Jongno-gu, Seoul",,1,A02,A0203,A02030400,264317,76,20030109040302,http://tong.visitkorea.or.kr/cms/resource/86/1554786_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/1554786_image3_1.jpg,Type3,127.0022045820,37.5802919622,6,20210325221134,23,+82-2-2148-1114,Daehangno (University Street) (대학로),03087
54,"139-26, Cheongpa-ro, Yongsan-gu, Seoul",,1,A02,A0201,A02010900,1935817,76,20140721194042,http://tong.visitkorea.or.kr/cms/resource/86/566486_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/566486_image3_1.jpg,Type3,126.9669951674,37.5355770817,6,20200318005021,21,+82-2-711-0933,Danggogae Catholic Martyrs' Shrine (당고개순교성지),04368
55,"99, Gomisul-ro, Dongdaemun-gu, Seoul",,1,A04,A0401,A04010600,2035491,76,20151024021340,http://tong.visitkorea.or.kr/cms/resource/14/1917414_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/1917414_image3_1.jpg,Type3,127.0575972141,37.5642059383,6,20200918234345,11,+82-2-2249-0336,Dapsimni Antique Art Street (답십리 고미술상가),02622
56,"99, Yulgok-ro, Jongno-gu, Seoul",,1,A01,A0101,A01010500,1751264,76,20121113204221,http://tong.visitkorea.or.kr/cms/resource/85/1568385_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/1568385_image3_1.jpg,Type3,126.9892416983,37.5865076734,6,20200130195449,23,+82-2-3668-2300,Daraenamu Tree in Changdeokgung Palace (창덕궁 다래나무),03072
57,"99 Sejong-daero, Jung-gu, Seoul",,1,A02,A0201,A02010100,264316,76,20030109040234,http://tong.visitkorea.or.kr/cms/resource/05/3092905_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/3092905_image3_1.jpg,Type1,126.9749296905,37.5661486714,6,20240619163950,24,+82-2-771-9951,Deoksugung Palace (덕수궁),04519
58,"99, Sejong-daero, Jung-gu, Seoul",,1,A02,A0201,A02010300,1942577,76,20140821025417,http://tong.visitkorea.or.kr/cms/resource/75/3108175_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/75/3108175_image3_1.JPG,Type3,126.9749296905,37.5661486714,6,20240306171909,24,+82-2-771-9951,Deoksugung Palace's Daehanmun Gate (덕수궁 대한문),04519
59,"24, Sejong-daero 19-gil, Jung-gu, Seoul",,1,A02,A0203,A02030600,1748351,76,20121106202438,http://tong.visitkorea.or.kr/cms/resource/50/2658350_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2658350_image3_1.jpg,Type3,126.9748935853,37.5660820124,6,20240311180514,24,+82-2-120,Deoksugung Stone Wall Path (덕수궁 돌담길),04519
60,"396, World Cup buk-ro, Mapo-gu, Seoul",,1,A02,A0204,A02040800,2579399,76,20181218184920,http://tong.visitkorea.or.kr/cms/resource/70/2502570_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2502570_image2_1.jpg,Type3,126.8897676324,37.5795344793,6,20210201224623,13,+82-2-2132-1179,Digital Pavilion (디지털 파빌리온),03925
61,"Dobong-dong, Dobong-gu, Seoul",,1,A01,A0101,A01010400,1742421,76,20121029193822,http://tong.visitkorea.or.kr/cms/resource/65/1894465_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/1894465_image3_1.jpg,Type3,127.0184192271,37.6969870145,6,20210629003223,10,+82-2-954-2566,Dobongsan Mountain (도봉산),01318
62,"37-7, Jongno 5(o)-ga, Jongno-gu, Seoul",,1,A02,A0203,A02030600,2590278,76,20190215221058,http://tong.visitkorea.or.kr/cms/resource/53/2601453_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2601453_image3_1.jpg,Type3,127.0058684191,37.5703487391,6,20240304155925,23,+82-2-2236-9135,Dongdaemun Dak Hanmari Alley (서울 동대문 닭한마리 골목),03197
63,"281, Eulji-ro, Jung-gu, Seoul",,1,A02,A0204,A02040800,2475097,76,20170112193908,,,,127.0099486810,37.5675991318,6,20240517145817,24,+82-2-2153-0000,Dongdaemun Design Plaza (동대문디자인플라자 (DDP)),04566
64,"281 Eulji-ro, Jung-gu, Seoul",,1,A02,A0202,A02020700,1924956,76,20140611182747,http://tong.visitkorea.or.kr/cms/resource/72/1897972_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/1897972_image3_1.jpg,Type3,127.0101708978,37.5670686420,6,20240306164606,24,+82-2-2266-7188,Dongdaemun History & Culture Park (동대문역사문화공원),04566
65,"21-1, Jong-ro 52-gil, Jongno-gu, Seoul",,1,A02,A0203,A02030600,1241248,76,20110324222335,http://tong.visitkorea.or.kr/cms/resource/88/3109188_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/88/3109188_image3_1.JPG,Type3,127.0144065057,37.5712043487,6,20240315100731,23,+82-2-1330,Dongdaemun Stationery Store Street (동대문 문구완구거리),03120
66,"251, Tongil-ro, Seodaemun-gu, Seoul",,1,A02,A0201,A02010300,264110,76,20021224015052,,,,126.9556423190,37.5746640029,6,20221215095122,14,,Dongnimmun Gate (독립문),03732
67,"20, Dosan-daero 45-gil, Gangnam-gu, Seoul",,1,A01,A0101,A01010500,264444,76,20040108223850,,,,127.0338117034,37.5214632538,6,20221216140642,1,+82-2-543-2558,Dosan Park (도산공원),06020
68,"504, Samyang-ro 173-gil, Gangbuk-gu, Seoul",,1,A02,A0201,A02010800,1348684,76,20110803001455,http://tong.visitkorea.or.kr/cms/resource/48/632948_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/632948_image3_1.jpg,Type3,126.9897341460,37.6552274686,6,20200330232348,3,,Doseonsa Temple (도선사),01002
