,공고 제목,기업 이름,도메인,기업 규모,사원수,설립 연도,요구 경력,요구 학력,스킬,고용 형태,급여,지역
60,(주)세스코 Data Scientist 경력직 모집,㈜세스코,제약·보건·바이오,중견기업 (비상장),명시되어있지않음,1976년(49년차),경력 (5년이상),대졸이상,명시되어있지않음,정규직수습3개월,회사내규에따름,서울시강동구
61,(주)세스코 DB Engineer 경력직 모집,㈜세스코,제약·보건·바이오,중견기업 (비상장),명시되어있지않음,1976년(49년차),경력 (5년이상),대졸이상,명시되어있지않음,정규직수습3개월,회사내규에따름,서울시강동구
62,[안양] 인트라넷 시스템 유지관리 및 DB컨설팅 경력자 모집,㈜시스게이트,기타정보기술및컴퓨터운영관련서비스업,중소기업 (비상장),303명,1999년(26년차),경력 (4년이상),고졸이상,"JAVA,MySQL,Oracle,PHP,Linux,db",정규직,회사내규에따름 -면접후결정,경기도안양시동안구
63,[신입가능/엑셀 활용] 데이터 라벨링 Annotator 채용,㈜아데코코리아,상용인력공급및인사관리서비스업,중견기업 (비상장),"2,500명",1999년(26년차),경력무관,초대졸이상(졸업예정자가능),"Excel,OA",계약직   도급,"연봉2,640~2,640만원",서울시성동구
64,[역삼/글로벌게임사] Data Producer 데이터 분석 담당,㈜아데코코리아,상용인력공급및인사관리서비스업,중견기업 (비상장),"2,500명",1999년(26년차),경력무관,학력무관,명시되어있지않음,계약직근무기간12개월,회사내규에따름 -면접후결정,서울시강남구
65,전자책 정액제 서비스 구축 아르바이트,㈜알라딘커뮤니케이션,쇼핑몰·오픈마켓·소셜커머스,중견기업 (비상장),920명,1998년(27년차),경력무관,학력무관,명시되어있지않음,계약직근무기간6개월,월급225만원이상 -면접후결정,"서울시중구 ,동작구"
66,24년 상반기 IT 기획 경력직 채용,한화엔진,내연기관제조업,중견기업 (코스피),793명,2000년(25년차),경력,명시되어있지않음,명시되어있지않음,정규직,회사내규에따름,경남창원시성산구
67,"2024년 디지털혁신 우수인재 채용(IT컨설팅/정보보안 분야, 3차) - App/Data Modernization",케이티,무선및위성통신업,대기업 (코스피),"19,660명",1981년(44년차),경력,대졸이상,명시되어있지않음,정규직,회사내규에따름,
68,"2024년 디지털혁신 우수인재 채용(IT컨설팅/정보보안 분야, 3차) -  New Technology 적용 전략 수립",케이티,무선및위성통신업,대기업 (코스피),"19,660명",1981년(44년차),경력,대졸이상,명시되어있지않음,정규직,회사내규에따름,
69,"2024년 디지털혁신 우수인재 채용(IT컨설팅/정보보안 분야, 3차) - AI Engineering",케이티,무선및위성통신업,대기업 (코스피),"19,660명",1981년(44년차),경력,대졸이상,명시되어있지않음,정규직,회사내규에따름,"서울시종로구 ,경기도성남시분당구"
70,"2024년 디지털혁신 우수인재 채용(IT컨설팅/정보보안 분야, 3차)",케이티,무선및위성통신업,대기업 (코스피),"19,660명",1981년(44년차),경력,대졸이상,명시되어있지않음,정규직,회사내규에따름,"서울시종로구 ,경기도성남시분당구"
71,[TmaxTibero] Tibero 연구원,㈜티맥스그룹,솔루션·SI·CRM·ERP,중견기업 (비상장),395명,2015년(10년차),신입·경력,대졸이상(졸업예정자가능),"Oracle,SQL,Unix,Linux,UX",정규직수습3개월,회사내규에따름 -면접후결정,경기도성남시분당구
72,로지스올엔지니어링 경력사원 채용,로지스올그룹,기타운송장비임대업,중견기업 (비상장),970명,1985년(40년차),경력 (1년이상),고졸이상,"Hadoop,AutoCAD,SketchUp,Excel,PowerPoint,ERP,비즈니스영어,AGV,PLC",정규직,회사내규에따름 -면접후결정,"서울시마포구 ,경기도김포시"
73,B2B IT Analyst 채용,한국필립모리스㈜,생활용품·소비재·기타,외국계(외국투자기업) (해외상장법인자회사),"1,100명",1989년(36년차),신입·경력 (3년이상),대졸이상,명시되어있지않음,정규직,회사내규에따름 -면접후결정,서울시영등포구
74,2024년 코오롱그룹 4월 정기공채,코오롱그룹,섬유·의류·패션,대기업 (비상장),"11,289명",1957년(68년차),경력 분야별경력상이,학력무관,"ABAP,C#,JAVA,JPA,JSP,MariaDB,MSSQL,MyBatis,Oracle,Python,React,RestAPI,VB.NET,Vue.js,SAP,ERP,SpringFramework,JSON,MicrosoftOffice",정규직,회사내규에따름,"경기도과천시 ,안양시동안구 ,경북구미시 ,포항시남구 ,포항시북구 ,서울시강남구 ,강서구"
75,[서울] 의료기관 데이터베이스 관리자(DBA)경력자 모집,㈜시스게이트,기타정보기술및컴퓨터운영관련서비스업,중소기업 (비상장),303명,1999년(26년차),경력 (10년이상),고졸이상,"MSSQL,Oracle,OracleDB,Sybase",정규직,회사내규에따름 -면접후결정,서울시영등포구
76,[교보증권 DigitalFrontierLabs파트] 경력직 채용,교보증권㈜,증권중개업,대기업 (코스피),959명,1949년(76년차),경력,대졸이상,명시되어있지않음,계약직근무기간협의,회사내규에따름,서울시영등포구
77,신한카드 빅데이터 분석 운영 (SM),㈜자이트솔루션,솔루션·SI·CRM·ERP,중소기업 (비상장),150명,1993년(32년차),경력 (9년이상),학력무관,"Python,SQL",프리랜서근무기간12개월,회사내규에따름 -면접후결정,서울시중구
78,[ALIKE Solution] Computer Vision Research Engineer,네이버랩스,그외기타정보서비스업,대기업 (-),228명,2017년(8년차),신입·경력,명시되어있지않음,명시되어있지않음,정규직,회사내규에따름,경기도성남시분당구
79,R&D 연구직 경력 채용(웹개발 프런트앤드),코맥스,유선통신장비제조업,중견기업 (코스닥),175명,1976년(49년차),경력,대졸이상,명시되어있지않음,명시되어있지않음,회사내규에따름,경기도성남시중원구
80,"R&D 연구직 경력/병역특례(보충역) 채용(빅데이터, AI)",코맥스,유선통신장비제조업,중견기업 (코스닥),175명,1976년(49년차),경력,대학원(석사)이상,명시되어있지않음,명시되어있지않음,회사내규에따름,경기도성남시중원구
81,"R&D 연구직 경력/병역특례(보충역) 채용(클라우드, 빅데이터)",코맥스,유선통신장비제조업,중견기업 (코스닥),175명,1976년(49년차),경력,대학원(석사)이상,명시되어있지않음,명시되어있지않음,회사내규에따름,경기도성남시중원구
82,R&D 연구직 신입/경력/병역특례(보충역) 채용,코맥스,유선통신장비제조업,중견기업 (코스닥),175명,1976년(49년차),신입·경력,학력무관,명시되어있지않음,명시되어있지않음,회사내규에따름,경기도성남시중원구
83,Data Center Technician (Engineer) 신입사원 채용,한국오라클(유),시스템소프트웨어개발및공급업,중견기업 (해외상장),850명,1989년(36년차),경력무관,초대졸이상,명시되어있지않음,정규직,회사내규에따름 -면접후결정,강원도춘천시
84,[역삼/글로벌게임사] Data Monitoring Software Engineer,㈜아데코코리아,상용인력공급및인사관리서비스업,중견기업 (비상장),"2,500명",1999년(26년차),경력 (1년이상),학력무관,"Kafka,ShellScript,Vue.js,Airflow,Grafana,ELK",계약직근무기간12개월,회사내규에따름 -면접후결정,서울시강남구
85,Data Engineering 전문가,에스케이브로드밴드㈜,전기통신업,대기업 (비상장),"2,564명",1997년(28년차),경력,대졸이상,명시되어있지않음,정규직,회사내규에따름,서울시중구
86,"데이타,하드,복구,유지보수 경력",㈜씨앤씨,컴퓨터·하드웨어·장비,중소기업 (비상장),135명,1990년(35년차),경력무관,고졸이상,명시되어있지않음,정규직,회사내규에따름 -면접후결정,충북청주시흥덕구
87,빅데이터 개발자 모집,에스디바이오센서㈜,전기식진단및요법기기제조업,중견기업 (코스피),578명,2010년(15년차),경력,대졸이상,명시되어있지않음,정규직,회사내규에따름,경기도수원시영통구
88,빅데이터 개발자/전기화학센서 개발자 모집,에스디바이오센서㈜,전기식진단및요법기기제조업,중견기업 (코스피),578명,2010년(15년차),신입·경력,대졸이상,명시되어있지않음,정규직,회사내규에따름,경기도수원시영통구
89,[스마트팩토리] 요소기술 개발 리딩 - 팀장급,현대오토에버㈜,솔루션·SI·CRM·ERP,대기업 (코스피),"6,444명",2000년(25년차),경력 (10년이상),학력무관,명시되어있지않음,정규직,회사내규에따름 -면접후결정,서울시강남구
90,클라우드 시스템 엔지니어 / 데브옵스 엔지니어 / DevOps Engineer,더치트주식회사,포털·컨텐츠·커뮤니티,중소기업 (비상장),명시되어있지않음,2012년(13년차),경력 (3년이상),학력무관,명시되어있지않음,정규직수습6개월   계약직근무기간12개월 정규직전환가능,"연봉3,000~10,000만원 -면접후결정",서울시구로구
91,"[스마트팩토리] 3D 엔진 그래픽스, 데이터 포맷 컴파일러 개발 - 경력",현대오토에버㈜,솔루션·SI·CRM·ERP,대기업 (코스피),"6,444명",2000년(25년차),경력,학력무관,명시되어있지않음,정규직,회사내규에따름 -면접후결정,서울시강남구
92,Python 개발자 경력직 채용 (5년 이하),㈜링크프라이스,광고·홍보·전시,중소기업 (비상장),300명,2006년(19년차),경력 (1년이상),초대졸이상,"NoSQL,Python,RDBMS,ERWin,Airflow,Cloud,DW,ETL,GitHub,정보처리기사자격",정규직수습3개월,회사내규에따름 -면접후결정,서울시금천구
93,[정규직 / 경력] SW 엔지니어 경력직 채용공고,㈜이지서티,정보보안,벤처기업 (비상장),80명,2002년(23년차),경력 (1년이상),대졸이상(졸업예정자가능),"AWS,Azure,Docker,Hadoop,IaaS,IIS,Oracle,SaaS,Tomcat,Linux",정규직,회사내규에따름 -면접후결정,서울시강남구
94,[(주)토마토시스템] AI데이터 분석 부문 채용(경력),㈜토마토시스템,응용소프트웨어개발및공급업,중소기업 (코스닥),216명,2000년(25년차),경력 (2년이상),대졸이상,"JAVA,Javascript,JSP,MSSQL,MySQL,Oracle,Perl,Python,Spring,SQL",정규직,회사내규에따름 -면접후결정,서울시강남구
95,[인텔리전스랩스] MLOps팀 백엔드 개발자 (Python/Go),㈜넥슨,컴퓨터·하드웨어·장비,대기업 (비상장),"3,500명",1994년(31년차),경력무관,학력무관,명시되어있지않음,정규직,회사내규에따름,경기도성남시분당구
96,2024년 상반기 각 부문 신입/경력 상시채용,㈜코난테크놀로지,솔루션·SI·CRM·ERP,중소기업 (코스닥상장),250명,1999년(26년차),신입·경력,초대졸이상,명시되어있지않음,정규직수습3개월,회사내규에따름 -면접후결정,서울시서초구
97,[경력] '24년 Data Engineer 직무 채용,(주)아모레퍼시픽,화장품제조업,중견기업 (코스피),"4,671명",2006년(19년차),경력,대졸이상,명시되어있지않음,정규직,회사내규에따름,서울시용산구
98,2024년 상반기 R&D 산학장학생 상시 모집 (AI/빅데이터센터),LG에너지솔루션,축전지제조업,대기업 (코스피),"12,038명",2020년(5년차),신입,대학원(석사)이상(졸업예정자가능),명시되어있지않음,명시되어있지않음,회사내규에따름,"경기도과천시 ,서울시영등포구"
99,[클라우드네트웍스] 빅데이터 솔루션 엔지니어 모집 (신입),㈜클라우드네트웍스,네트워크·통신서비스,중소기업 (비상장),65명,2012년(13년차),신입,학력무관,"AWS,Azure,GCP,Kafka,Python,ShellScript,Splunk,Window,Linux",정규직수습3개월,회사내규에따름,서울시강남구
100,[일본 현지 취업] 진동음향업계 CAE실험 분석 엔지니어 (석사/일본어가능자) 711,(주)마이나비코리아,컨설팅·연구·조사,외국계(외국법인기타) (비상장),10명,2016년(9년차),신입,대학원(석사)이상(졸업예정자가능),명시되어있지않음,정규직수습3개월,회사내규에따름 -면접후결정,일본아이치
101,2024년 디지털/ICT 전문계약직원(경력직) 상시채용 - 데이터/RPA,제주은행,국내은행,대기업 (코스피),442명,1969년(56년차),경력,학력무관,명시되어있지않음,계약직,회사내규에따름,제주도제주시
102,[인텔리전스랩스] 데이터 분석가 (게임 플레이 로그 데이터 분석),㈜넥슨,컴퓨터·하드웨어·장비,대기업 (비상장),"3,500명",1994년(31년차),경력,학력무관,명시되어있지않음,정규직,회사내규에따름,경기도성남시분당구
103,[ESTsoft] 데이터 구축 어시스턴트 (계약직),㈜이스트소프트,응용소프트웨어개발및공급업,중소기업 (코스닥상장),170명,1993년(32년차),경력무관,학력무관,명시되어있지않음,계약직근무기간12개월,회사내규에따름 -면접후결정,제주도제주시
104,(정규직) ETL 개발자를 모십니다,주식회사 데이터스트림즈,시스템소프트웨어개발및공급업,중소기업 (코넥스),216명,2001년(24년차),경력 (3년이상),학력무관,ETL,정규직수습3개월,회사내규에따름 -면접후결정,서울시서초구
105,빅데이터/AI 솔루션 개발자 - 신입 모집,㈜이씨마이너,솔루션·SI·CRM·ERP,중소기업 (비상장),31명,2000년(25년차),신입,대졸이상(졸업예정자가능),"C,C++,JAVA",정규직수습3개월,"연봉3,500만원이상 -면접후결정",서울시강남구
106,빅데이터/AI 솔루션 개발자 - 경력 모집,㈜이씨마이너,솔루션·SI·CRM·ERP,중소기업 (비상장),31명,2000년(25년차),경력,대졸이상(졸업예정자가능),"C,C++,JAVA",정규직수습3개월,회사내규에따름 -면접후결정,서울시강남구
107,빅데이터/AI 분석전문가,㈜이씨마이너,솔루션·SI·CRM·ERP,중소기업 (비상장),31명,2000년(25년차),신입·경력,대졸이상(졸업예정자가능),명시되어있지않음,정규직수습3개월,"연봉3,500만원이상",서울시강남구
108,Network Engineer 채용,현대오토에버㈜,솔루션·SI·CRM·ERP,대기업 (코스피),"6,444명",2000년(25년차),경력 (3년이상),학력무관,명시되어있지않음,정규직수습기간협의,회사내규에따름,"서울시강남구 ,서울전지역 ,전북전주시덕진구 ,전주시완산구"
109,[상시채용] Engineering - 지능형 스마트 팩토리,한국타이어앤테크놀로지,타이어및튜브제조업,대기업 (코스피),"6,482명",2012년(13년차),경력,명시되어있지않음,명시되어있지않음,정규직,회사내규에따름,"대전시대덕구 ,유성구 ,충남금산군"
110,[상시채용] Engineering - 설비기술(기계),한국타이어앤테크놀로지,타이어및튜브제조업,대기업 (코스피),"6,482명",2012년(13년차),경력,명시되어있지않음,명시되어있지않음,정규직,회사내규에따름,"대전시대덕구 ,유성구 ,충남금산군"
111,[상시채용] Engineering - 설비기술(전기),한국타이어앤테크놀로지,타이어및튜브제조업,대기업 (코스피),"6,482명",2012년(13년차),경력,명시되어있지않음,명시되어있지않음,정규직,회사내규에따름,"대전시대덕구 ,유성구 ,충남금산군"
112,[상시채용] Engineering,한국타이어앤테크놀로지,타이어및튜브제조업,대기업 (코스피),"6,482명",2012년(13년차),경력,명시되어있지않음,명시되어있지않음,정규직,회사내규에따름,"대전시대덕구 ,유성구 ,충남금산군"
113,"한국생산기술연구원 인공지능, 로봇, 제어, 자동화, 자율주행 관련 연구원 채용",한국생산기술연구원,기타공학연구개발업,비영리법인 (비상장),"1,327명",1989년(36년차),경력무관,대졸이상(졸업예정자가능),"C++,Git,Matlab,Python,Solidworks,임베디드리눅스,AutoCAD,ROS,ROS2,Simulink",계약직근무기간협의    인턴근무기간협의    아르바이트근무기간6개월,회사내규에따름,광주북구
114,[역삼] AI 학습데이터 Project Manager(PM) 경력직 채용,㈜유베이스,콜센터및텔레마케팅서비스업,중견기업 (비상장),"10,679명",1999년(26년차),경력 (2년이상),학력무관,명시되어있지않음,정규직수습6개월,회사내규에따름 -면접후결정,"서울시강남구 ,서초구 ,송파구 ,강동구 ,서울전지역"
115,"2024년 디지털혁신 우수인재 채용(IT컨설팅/정보보안 분야, 3차) - 정보보안 기획 및 관리체계 수립",케이티,무선및위성통신업,대기업 (코스피),"19,660명",1981년(44년차),경력,대졸이상,명시되어있지않음,정규직,회사내규에따름,"서울시종로구 ,경기도성남시분당구"
116,"2024년 디지털혁신 우수인재 채용(IT컨설팅/정보보안 분야, 3차) - Cloud Native/플랫폼 전환 전략 수립",케이티,무선및위성통신업,대기업 (코스피),"19,660명",1981년(44년차),경력,대졸이상,명시되어있지않음,정규직,회사내규에따름,"서울시종로구 ,경기도성남시분당구"
117,"2024년 디지털혁신 우수인재 채용(IT컨설팅/정보보안 분야, 3차) - Cloud 전환 전략 수립",케이티,무선및위성통신업,대기업 (코스피),"19,660명",1981년(44년차),경력,대졸이상,명시되어있지않음,정규직,회사내규에따름,"서울시종로구 ,경기도성남시분당구"
118,우수 인재 상시 채용 (안전),현대엘리베이터,승강기제조업,중견기업 (코스피),"2,807명",1984년(41년차),신입·경력,명시되어있지않음,명시되어있지않음,명시되어있지않음,회사내규에따름,"충북충주시 ,서울시종로구"
119,우수 인재 상시 채용 (경영지원),현대엘리베이터,승강기제조업,중견기업 (코스피),"2,807명",1984년(41년차),신입·경력,명시되어있지않음,명시되어있지않음,명시되어있지않음,회사내규에따름,"충북충주시 ,서울시종로구"
120,우수 인재 상시 채용 (경영관리),현대엘리베이터,승강기제조업,중견기업 (코스피),"2,807명",1984년(41년차),신입·경력,명시되어있지않음,명시되어있지않음,명시되어있지않음,회사내규에따름,"충북충주시 ,서울시종로구"
121,우수 인재 상시 채용 (기술지원),현대엘리베이터,승강기제조업,중견기업 (코스피),"2,807명",1984년(41년차),신입·경력,명시되어있지않음,명시되어있지않음,명시되어있지않음,회사내규에따름,"충북충주시 ,서울시종로구"
122,우수 인재 상시 채용 (영업),현대엘리베이터,승강기제조업,중견기업 (코스피),"2,807명",1984년(41년차),신입·경력,명시되어있지않음,명시되어있지않음,명시되어있지않음,회사내규에따름,"충북충주시 ,서울시종로구"
123,우수 인재 상시 채용 (DT),현대엘리베이터,승강기제조업,중견기업 (코스피),"2,807명",1984년(41년차),신입·경력,명시되어있지않음,명시되어있지않음,명시되어있지않음,회사내규에따름,"충북충주시 ,서울시종로구"
124,우수 인재 상시 채용 (제조),현대엘리베이터,승강기제조업,중견기업 (코스피),"2,807명",1984년(41년차),신입·경력,명시되어있지않음,명시되어있지않음,명시되어있지않음,회사내규에따름,"충북충주시 ,서울시종로구"
125,우수 인재 상시 채용 (설계),현대엘리베이터,승강기제조업,중견기업 (코스피),"2,807명",1984년(41년차),신입·경력,명시되어있지않음,명시되어있지않음,명시되어있지않음,회사내규에따름,"충북충주시 ,서울시종로구"
126,우수 인재 상시 채용 (R&D),현대엘리베이터,승강기제조업,중견기업 (코스피),"2,807명",1984년(41년차),신입·경력,명시되어있지않음,명시되어있지않음,명시되어있지않음,회사내규에따름,"충북충주시 ,서울시종로구"
127,우수 인재 상시 채용,현대엘리베이터,승강기제조업,중견기업 (코스피),"2,807명",1984년(41년차),신입·경력,명시되어있지않음,명시되어있지않음,명시되어있지않음,회사내규에따름,"충북충주시 ,서울시종로구"
128,[강남/외국계의료기기] CS Data Team (신입-3년),"㈜아데코코리아 
                                    기업정보",명시되어있지않음,외국계기업,명시되어있지않음,명시되어있지않음,신입·경력,대졸이상(졸업예정자가능),명시되어있지않음,계약직근무기간12개월    파견직 근무기간12개월,회사내규에따름 -면접후결정,서울시강남구
129,2024년 상반기 청년인턴(인턴연구원/인턴행정원) 공개채용,한국해양과학기술원부설선박해양플랜트연구소,기타공학연구개발업,비영리법인 (-),193명,2013년(12년차),신입,대졸이상(졸업예정자가능),명시되어있지않음,인턴,회사내규에따름,
130,[다온기술] 2024년 상반기 빅데이터/통합로그관리 솔루션 경력 채용 공고,다온기술㈜,정보보안,벤처기업 (비상장),20명,2013년(12년차),경력 (2년이상),학력무관,"RDBMS,SQL,정보보안기사자격",정규직,회사내규에따름 -면접후결정,경기도성남시분당구
131,제2024-1회 직원 채용 공고,기초과학연구원,공기업·공공기관,국내공공기관·공기업 (비상장),548명,2011년(14년차),신입·경력,학력무관,명시되어있지않음,정규직,회사내규에따름 -면접후결정,"대전시유성구 ,대전전지역 ,경북포항시남구 ,포항시북구 ,울산전지역"
132,더존비즈온 AI 분야 프롬프트 엔지니어 모집,㈜더존비즈온,컴퓨터프로그래밍서비스업,중견기업 (코스피),"1,721명",1977년(48년차),신입·경력,학력무관,"API,Docker,JAVA,RestAPI,LLM,GTPs",정규직수습3개월,회사내규에따름,서울시중구
